id,detalle,precio
284405,WARI PARACAS,"S/.2.050,00"
4917040005,SIMMONS HEAVENLY EVERNU WESTIN,"S/.2.615,00"
458428,SIMMONS BEAUTY REST - HEAVENLY,"S/.2.045,00"
265427,SUPER FOAM POLIALGODON,"S/.2.040,00"
2115010601,ACQUA REPOSE,"S/.1.510,00"
4127041401,SIMMONS HYDE PARK PLUSH,"S/.2.680,00"
458437,SIMMONS BR RECHARGE WORLD CLASS JAELYN LUX P/T,"S/.2.040,00"
267494,VALENCIA PT,"S/.2.040,00"
26542B,SUPER FOAM DRILL,"S/.2.035,00"
2915010022,VICUS,"S/.1.510,00"
4127041501,SIMMONS LUXURY COLLECTION TOP,"S/.2.430,00"
2916020010,FIRM,"S/.2.035,00"
4127041601,SIMMONS LUXURY COLLECTION TOP V/2,"S/.2.655,00"
4127040501,SIMMONS NIGHTFALL PT,"S/.2.200,00"
2125050201,SERTA PERFECT SLEEPER WESBOROUGH PT,"S/.1.505,00"
2127041001,SIMMONS NIGHTFALL RECHARGE PT,"S/.2.235,00"
2916010004,NAZCA,"S/.2.035,00"
284316,CONTINENTAL REAL REPOSE,"S/.1.505,00"
2116030691,OZONO,"S/.2.035,00"
267391,ORION PT,"S/.1.505,00"
4127041801,SIMMONS SWEET SLEEPER EURO SHERATON,"S/.2.560,00"
2916020005,TERRA ALOE VERA,"S/.2.030,00"
284374,FIRENZE HR,"S/.1.500,00"
2914010017,SIPAN,"S/.1.020,00"
2915010015,PARACAS,"S/.1.500,00"
2917010005,SIPAN,"S/.2.285,00"
2126022401,LATEX BAMBOO,"S/.2.025,00"
2124020101,VENTUS,"S/.880,00"
2915010002,SITE,"S/.1.500,00"
2127020191,VENTUS,"S/.2.215,00"
267480,FIRENZE VISCOELASTIC,"S/.2.025,00"
2124030101,VISCO,"S/.920,00"
267339,VENETTO,"S/.1.500,00"
267426,FLORENCIA,"S/.2.025,00"
2124024091,VISCO CARBON,"S/.1.040,00"
465283,BLUEPULSE,"S/.1.495,00"
2127024001,VISCO CARBON,"S/.2.595,00"
284452,NATURE EURO SOYA POCKET,"S/.2.025,00"
2843930002,DRIMER ANTARES,"S/.1.495,00"
2114020401,3 ESTRELLAS,"S/.1.150,00"
458396,OMEGA PT,"S/.1.495,00"
2117020401,3 ESTRELLAS,"S/.2.585,00"
2844C2,AERO LATEX BAMBOO,"S/.2.020,00"
458321,SIMMONS BEAUTY REST - TRUE ENERGY ADVANCE,"S/.1.495,00"
2114020501,4 ESTRELLAS,"S/.1.010,00"
2915020007,TERRA COTTON FRESH,"S/.1.495,00"
2117020501,4 ESTRELLAS,"S/.2.630,00"
267492,SEVILLA PT,"S/.2.020,00"
267036,X DM2 C/TELA COOL MAX (TIPO VESUBIO),"S/.1.495,00"
2114020691,5 ESTRELLAS,"S/.1.020,00"
2145022301,ANTIACAROS,"S/.1.490,00"
2117020601,5 ESTRELLAS,"S/.2.620,00"
2126022101,HOTEL CONCEPT,"S/.2.015,00"
458201,ACQUA C/POLISEDA,"S/.820,00"
2115011201,LORD REPOSE,"S/.1.490,00"
2915010016,QUIPU,"S/.1.490,00"
2842A4,ACQUA CIRCULACION,"S/.1.010,00"
2125040201,SIMMONS BEAUTYREST PLATINUM PT,"S/.1.485,00"
2845A4,ACQUA CIRCULACION,"S/.2.650,00"
2116021501,DRIMER ACTIBIO,"S/.2.015,00"
2842A8,ACQUA CIRCULACION ADVANCE,"S/.1.040,00"
2115050201,SERTAPEDIC NEW WAITROSE,"S/.1.485,00"
2845A8,ACQUA CIRCULACION ADVANCE,"S/.2.680,00"
26542C,SUPER FOAM JACKARD,"S/.2.010,00"
2842B2,ACQUA CIRCULACION II,"S/.840,00"
2843B2,ACQUA CIRCULACION II,"S/.1.480,00"
2845B2,ACQUA CIRCULACION II,"S/.2.600,00"
2116020691,5 ESTRELLAS,"S/.2.010,00"
2114010601,ACQUA REPOSE,"S/.1.010,00"
2915020013,LATEX SILVER,"S/.1.475,00"
4914010001,ACQUA VARIOS,"S/.1.010,00"
267374,SAN MARINO PT,"S/.1.475,00"
2842A1,ACQUA VISCOELASTIC,"S/.1.100,00"
2145020401,DRIMER ZEN,"S/.1.470,00"
2845A1,ACQUA VISCOELASTIC,"S/.2.220,00"
2126040291,SIMMONS BEAUTYREST PLATINUM PT,"S/.2.005,00"
2842B3,ACTIPRO,"S/.970,00"
458399,TC POLUX,"S/.1.470,00"
2845B3,ACTIPRO,"S/.2.650,00"
2844C6,DRIMER ANTISTRESS,"S/.2.005,00"
284250,AERO AIRFRESH,"S/.1.250,00"
267333,ZENNA POCKET 1,"S/.1.470,00"
284550,AERO AIRFRESH,"S/.2.480,00"
2844A3,QUBO ANTISTRESS,"S/.2.005,00"
2842A9,AERO AIRFRESH ADVANCE,"S/.1.200,00"
267343,GEMINIS,"S/.1.465,00"
2845A9,AERO AIRFRESH ADVANCE,"S/.2.510,00"
2116020701,INTENSO,"S/.2.000,00"
2842A2,AERO AROMATERAPIA,"S/.1.230,00"
2115031101,ZENTRIX,"S/.1.465,00"
2845A2,AERO AROMATERAPIA,"S/.2.670,00"
267453,REAL PT,"S/.2.000,00"
2842C2,AERO LATEX BAMBOO,"S/.870,00"
2135000001,TERRA COTTON,"S/.1.460,00"
2845C2,AERO LATEX BAMBOO,"S/.2.240,00"
284424,TRAVEL EXTRA HOTELERO IGNIFUGO,"S/.2.000,00"
2145020301,DRIMER FOREVER YOUNG,"S/.1.460,00"
2114021201,ALOE VERA,"S/.950,00"
2125030201,OXYGEN,"S/.1.460,00"
2117021201,ALOE VERA,"S/.2.350,00"
2126030491,GRAVITY,"S/.1.995,00"
2843A3,TECHNODREAM QUBO ANTISTRESS,"S/.1.460,00"
2114021301,ANTARES,"S/.1.210,00"
267322,VESUBIO,"S/.1.460,00"
2117021391,ANTARES,"S/.2.430,00"
2844C5,DRIMER VISCO CARBON,"S/.1.995,00"
267021,BARI,"S/.635,00"
458241,ATOM,"S/.1.170,00"
2915010010,CARAL,"S/.1.455,00"
284305,WARI PARACAS,"S/.1.455,00"
2115020801,PLAYA,"S/.1.450,00"
284211,AYLLU APU,"S/.1.210,00"
2915010006,VESUBIO,"S/.1.450,00"
284262,AYLLU QUIPU,"S/.1.090,00"
265327,SUPER FOAM POLIALGODON,"S/.1.445,00"
267001,PRINCE,"S/.595,00"
284209,AYLLU TAMBO,"S/.1.190,00"
